neo_id,name,discovery_date,potentially_hazardous
137170,137170 (1999 HF1),1999-04-20,0
137175,137175 (1999 JA11),1999-05-14,0
137199,137199 (1999 KX4),1978-08-10,0
137427,137427 (1999 TF211),1999-10-06,1
137671,137671 (1999 XP35),1976-05-02,0
137799,137799 (1999 YB),1991-03-20,0
137802,137802 (1999 YT),1954-12-21,0
137805,137805 (1999 YK5),1999-12-29,0
137911,137911 (2000 AB246),2000-01-08,0
137924,137924 (2000 BD19),1997-02-10,0
137925,137925 (2000 BJ19),1953-12-07,0
138013,138013 (2000 CN101),1984-03-07,0
138095,138095 (2000 DK79),1986-04-09,1
138127,138127 (2000 EE14),2000-03-04,1
138155,138155 (2000 ES70),1989-10-28,0
138175,138175 (2000 EE104),2000-03-11,1
138205,138205 (2000 EZ148),1983-04-13,0
138258,138258 (2000 GD2),1998-03-29,0
138325,138325 (2000 GO82),2000-04-03,0
138359,138359 (2000 GX127),2000-04-10,0
138404,138404 (2000 HA24),1982-07-20,1
138524,138524 (2000 OJ8),2000-07-30,1
138727,138727 (2000 SU180),2000-09-27,1
138815,138815 (2000 TQ64),2000-10-07,0
138846,138846 (2000 VJ61),1988-08-10,0
138847,138847 (2000 VE62),1983-03-05,0
138852,138852 (2000 WN10),2000-11-20,0
138859,138859 (2000 WN63),2000-11-27,0
138877,138877 (2000 XG47),2000-11-06,0
138883,138883 (2000 YL29),1984-03-05,0
138893,138893 (2000 YH66),2000-12-30,0
138911,138911 (2001 AE2),1984-08-02,0
138925,138925 (2001 AU43),1992-12-20,0
138937,138937 (2001 BK16),1998-01-27,0
138947,138947 (2001 BA40),2001-01-23,0
138971,138971 (2001 CB21),2001-02-02,1
139047,139047 (2001 EB16),2001-02-21,0
139056,139056 (2001 FY),2001-03-16,0
139211,139211 (2001 GN2),1999-09-07,1
139289,139289 (2001 KR1),2001-05-18,0
139345,139345 (2001 KA67),2001-05-30,0
139359,139359 (2001 ME1),2001-05-25,1
139622,139622 (2001 QQ142),2001-08-22,1
140039,140039 (2001 SO73),2001-09-19,1
140158,140158 (2001 SX169),2001-09-07,1
140288,140288 (2001 SN289),1996-08-14,1
140333,140333 (2001 TD2),2001-10-10,0
140928,140928 (2001 VG75),1976-03-07,0
141018,141018 (2001 WC47),1991-12-07,0
141052,141052 (2001 XR1),1987-11-27,0
141053,141053 (2001 XT1),2001-12-09,1
141056,141056 (2001 XV4),2001-12-09,0
141078,141078 (2001 XQ30),1997-06-03,0
141079,141079 (2001 XS30),1998-11-16,0
141354,141354 (2002 AJ29),1988-06-16,0
141424,141424 (2002 CD),2002-02-01,0
141432,141432 (2002 CQ11),2002-02-06,1
141447,141447 (2002 CW59),2002-02-13,0
141484,141484 (2002 DB4),2002-02-26,0
141495,141495 (2002 EZ11),2002-02-24,1
141498,141498 (2002 EZ16),1995-12-01,0
141525,141525 (2002 FV5),2002-03-21,1
141526,141526 (2002 FA6),2001-03-23,0
