observatory_code,observatory_name,longitude,parallax_cos,parallax_sin
345,Sobaeksan Optical Astronomy Observatory,128.4575,0.80046,0.59773
346,KNUE Astronomical Observatory,127.3854,0.80474,0.59166
347,Utsunomiya-Imaizumi,139.9086,0.80417,0.59244
348,Ayabe,135.2669,0.81698,0.57475
349,Ageo,139.56622,0.810402,0.583916
350,Kurohone,139.2635,0.80504,0.59132
351,Sakamoto,135.8678,0.81939,0.57135
352,Konan,136.1778,0.82061,0.56963
353,Nishi Kobe,135.0648,0.82265,0.56669
354,Kawachi,140.0206,0.80109,0.59674
355,Hadano,139.2133,0.81618,0.5759
356,Kogota,141.0867,0.78319,0.6197
357,Shimotsuma,140.0064,0.80807,0.58712
358,Nanyo,140.1586,0.78856,0.61296
359,Wakayama,135.1719,0.82782,0.55912
360,Kuma Kogen,132.9442,0.83314,0.55138
361,Sumoto,134.8933,0.82649,0.56106
362,Ray Observatory,140.655,0.73673,0.67398
363,Yamada,130.7703,0.83416,0.54967
364,YCPM Kagoshima Station,130.5747,0.85213,0.52164
365,Uto Observatory,135.9579,0.82597,0.56196
366,Miyasaka Observatory,138.3003,0.81147,0.58267
367,Yatsuka,133.167,0.81504,0.57747
368,Ochiai,138.8117,0.81213,0.58191
369,Chichibu,139.15,0.8101,0.5844
370,Kochi,133.5273,0.83424,0.54956
371,Tokyo-Okayama,133.5965,0.82433,0.56431
372,Geisei,133.8276,0.8345,0.5492
373,Oishi,135.3397,0.82866,0.55797
374,Minami-Oda Observatory,134.7196,0.81915,0.57174
375,Uzurano,134.8708,0.8206,0.5697
376,Uenohara,139.0392,0.81321,0.58022
377,"Kwasan Observatory, Kyoto",135.7933,0.82014,0.57031
378,Murou,136.0142,0.82437,0.56426
379,Hamamatsu-Yuto,137.6279,0.823,0.56613
380,Ishiki,137.0349,0.8219,0.56772
381,Tokyo-Kiso,137.62542,0.812172,0.581777
382,Tokyo-Norikura,137.5553,0.80915,0.58639
383,Chirorin,137.8959,0.80218,0.59526
384,Shimada,138.1792,0.8219,0.5678
385,Nihondaira Observatory,138.468,0.82039,0.56997
386,Yatsugatake-Kobuchizawa,138.3217,0.81121,0.58309
387,Tokyo-Dodaira,139.1944,0.81,0.58469
388,Tokyo-Mitaka,139.5421,0.8133,0.57991
389,Tokyo (before 1938),139.7447,0.81347,0.57965
390,Utsunomiya,139.8725,0.80425,0.59234
391,"Sendai Observatory, Ayashi Station",140.77843,0.786177,0.61596
392,JCPM Sapporo Station,141.3667,0.73355,0.67741
393,JCPM Sakura Station,140.1292,0.809,0.5858
394,JCPM Hamatonbetsu Station,142.3208,0.70692,0.70493
395,Tokyo-Asahikawa,142.3583,0.7224,0.6891
396,Asahikawa,142.4208,0.7236,0.6879
397,Sapporo Science Center,141.4761,0.7321,0.67892
398,Nagatoro,139.108,0.8087,0.5863
399,Kushiro,144.59,0.73158,0.6795
400,Kitami,143.7827,0.72344,0.68811
401,Oosato,139.4208,0.8088,0.5861
402,Dynic Astronomical Observatory,136.3078,0.818,0.57335
403,Kani,137.0556,0.81593,0.57625
404,Yamamoto,140.9292,0.7909,0.6099
405,Kamihoriguchi,139.3292,0.8069,0.5887
406,Bibai,141.8233,0.72946,0.68174
407,Kahoku,140.3099,0.78426,0.61837
408,Nyukasa,138.1747,0.81121,0.58328
409,Kiyose and Mizuho,139.5211,0.81234,0.58124
410,Sengamine,134.891,0.81883,0.57222
411,Oizumi,139.417,0.80739,0.58805
412,Iwaki,140.5991,0.80011,0.59803
413,Siding Spring Observatory,149.06608,0.855595,-0.516262
414,Mount Stromlo,149.0077,0.81694,-0.57499
415,Kambah,149.0636,0.81615,-0.57606
416,Barton,149.1336,0.81701,-0.57485
417,Yanagida Astronomical Observatory,137.1371,0.79611,0.60317
418,Tamworth,150.94034,0.857259,-0.513294
419,Windsor,150.8329,0.8337,-0.55038
420,Sydney,151.205,0.83126,-0.55404
421,"Mt. Kajigamori, Otoyo",133.765,0.83244,0.55262
422,Loomberah,151.0461,0.85503,-0.51709
423,North Ryde,151.12473,0.831807,-0.553222
424,Macquarie,149.0658,0.81758,-0.57405
425,"Taylor Range Observatory, Brisbane",152.9316,0.88796,-0.45843
426,Woomera,136.8217,0.85618,-0.51498
427,Stockport,138.7283,0.82667,-0.56084
428,Reedy Creek,153.397,0.88271,-0.46837
429,Hawker,149.04,0.81761,-0.57402
430,"Rainbow Observatory, near Coonabarabran",149.2123,0.8555,-0.51623
431,"Mt. Tarana Observatory, Bathurst",149.7578,0.83548,-0.54793
432,Boambee,153.08222,0.86379,-0.502166
433,Bagnall Beach Observatory,152.1078,0.84197,-0.53771
434,S. Benedetto Po,10.9206,0.70765,0.70419
435,"G. Colombo Astronomical Observatory, Padua",11.8936,0.7033,0.70852
436,Osservatorio di Livergnano,11.3356,0.71658,0.69528
437,Haverford,-75.3029,0.767,0.63953
438,"Smith College Observatory, Northampton",-72.6379,0.74059,0.66978
439,"ROTSE-III, Los Alamos",-106.7461,0.81156,0.58288
440,Elginfield Observatory,-81.3158,0.73025,0.68097
441,"Swilken Brae, St. Andrews",-2.8303,0.55559,0.82867
442,Gualba Observatory,-2.5178,0.7477,0.6619
443,"Obs. Astronomico Plomer, Buenos Aires",-58.5344,0.8237,-0.56513
444,Star Cruiser Observatory,-116.7206,0.83507,0.54868
445,Observatorio d\'Ontinyent,-0.58,0.7802,0.6235
446,"Kingsnake Observatory, Seguin",-97.8334,0.87049,0.49058
447,Centennial Observatory,-104.7944,0.77154,0.63448
448,"Desert Moon Observatory, Las Cruces",-106.7199,0.84543,0.53268
449,"Griffin Hunter Observatory, Bethune",-80.3497,0.82617,0.56156
450,"Carla Jane Observatory, Charlotte",-80.6661,0.81857,0.57254
451,"West Skies Observatory, Mulvane",-97.2431,0.79447,0.60536
452,"Big Cypress Observatory, Fort Lauderdale",-80.8937,0.898,0.4385
453,Edwards Raven Observatory,-117.8669,0.8203,0.57021
454,Maryland Space Grant Consortium Observatory,-76.62322,0.774542,0.630425
455,CBA Concord,-122.0364,0.78912,0.61218
456,Daventry Observatory,-1.1722,0.61348,0.78709
457,Partizanske,18.3403,0.66221,0.74685
458,Guadarrama Observatory,-4.0194,0.75992,0.64805
459,"Smith River Observatory, Danbury",-71.8828,0.72607,0.68538
460,"Area 52 Observatory, Nashville",-94.0019,0.8301,0.55579
461,"University of Szeged, Piszkesteto Stn. (Konkoly)",19.89367,0.671543,0.738689
462,Mount Belleview Observatory,-76.9158,0.77905,0.62488
463,"Sommers-Bausch Observatory, Boulder",-105.2625,0.76726,0.63959
464,"Toby Point Observatory, Narragansett",-71.4987,0.75109,0.65799
465,Takapuna,174.7801,0.80166,-0.59578
466,"Mount Molehill Observatory, Auckland",174.8487,0.8002,-0.5977
