neo_id,diameter,absolute_magnitude,albedo,spectral_class
386847,0.663,18.06,0.211,
387505,1.06,18.78,0.074,
387733,0.344,18.93,0.411,
387746,0.366,20.13,0.132,
388185,2.75,17.79,0.019,
388189,0.315,20.53,0.123,
388838,0.378,19.62,0.196,
389694,0.451,18.2,0.456,
390725,0.293,19.69,0.271,
391151,1.745,17.23,0.084,
391211,0.412,18.48,0.415,
393359,0.774,19.44,0.062,
393569,0.551,20.3,0.048,
394130,1.218,17.22,0.157,
394392,0.636,18.37,0.174,
395143,0.636,18.95,0.124,
395207,0.724,19.61,0.022,
397237,1.18,16.76,0.269,
398188,0.462,19.33,0.137,
399325,0.669,20.18,0.039,
399433,1.339,18.58,0.021,X
401857,4.2,16.14,0.046,
401925,0.475,18.48,0.342,
406952,0.772,17.11,0.429,
407324,0.281,20.58,0.141,
408751,0.399,19.02,0.278,
409256,1.887,18.42,0.026,
409836,0.554,18.07,0.331,
410088,1.032,18.2,0.095,
410777,0.472,22.18,0.01,
410778,1.457,18.15,0.048,
411165,0.159,22.09,0.121,
411201,0.658,17.8,0.31,
411611,0.358,18.75,0.415,
413038,1.237,16.94,0.301,S
413123,1.258,18.99,0.03,C
413192,2.16,16.91,0.043,
413421,1.9,18.27,0.023,
413820,0.659,19.65,0.049,
414286,0.369,18.59,0.471,
414287,1.974,17.73,0.038,
414429,2.866,18.02,0.015,
414586,0.996,16.13,0.709,
414746,1.8,17.86,0.019,
414772,1.466,19.14,0.019,
415711,0.346,19.01,0.371,
415986,1.072,18.03,0.088,
416071,0.803,18.05,0.189,
416567,2.538,17.13,0.036,
416694,2.292,17.67,0.031,
416801,0.906,19.64,0.031,
417264,1.93,17.06,0.062,
417634,0.418,18.57,0.154,
418094,0.89,19.65,0.042,
418797,0.789,19.41,0.063,
418929,1.432,17.03,0.137,
419472,0.459,19.97,0.088,
419624,0.357,20.44,0.084,
419880,0.982,19.83,0.026,
422638,0.193,21.09,0.195,
422686,0.176,21.6,0.143,
422699,0.619,18.28,0.22,
423321,0.202,20.9,0.212,
424089,2.314,17.56,0.027,
424392,0.239,22.11,0.054,
428223,2.525,16.02,0.101,
429073,2.498,17.23,0.041,
429382,0.448,18.34,0.463,
429746,1.275,17.27,0.131,
431107,1.266,17.69,0.092,
433953,0.259,20.91,0.115,
433992,0.827,17.93,0.144,
434096,0.528,18.15,0.431,
434632,1.15,19.88,0.019,
434633,0.31,20.7,0.039,
434740,0.997,19.49,0.031,
435404,0.921,18.63,0.083,
436030,0.295,19.42,0.296,
436324,0.369,19.44,0.205,
436325,0.452,18.36,0.378,
436329,0.622,20.09,0.012,
436671,2.159,18.0,0.024,
436761,2.773,18.2,0.013,
437879,1.82,17.72,0.044,
437994,1.078,17.48,0.2,
438107,0.663,18.36,0.191,
438897,0.946,18.83,0.06,
438902,2.226,17.5,0.047,
438990,0.818,18.34,0.126,
439889,0.59,20.38,0.046,
439898,0.53,19.99,0.063,
441952,2.246,18.39,0.017,
441987,0.228,21.35,0.071,
442037,0.695,19.26,0.063,
442605,0.44,19.29,0.209,
442742,2.003,17.81,0.04,
443806,0.288,21.72,0.034,
443837,0.253,19.68,0.399,
443880,0.228,19.38,0.593,
443923,3.316,17.57,0.018,
444193,0.437,18.19,0.503,
445025,2.098,17.43,0.04,
445305,0.762,19.81,0.025,
450159,0.735,19.03,0.09,
450237,0.096,23.18,0.134,
450238,1.25,18.35,0.059,
451124,2.188,18.08,0.023,
451217,2.72,17.0,0.038,
452313,1.514,18.6,0.031,
452389,0.846,18.15,0.156,
452639,2.249,18.14,0.018,
453687,0.948,19.39,0.037,
453707,0.495,18.73,0.261,
454078,2.959,17.39,0.02,
454094,0.167,21.87,0.11,
454100,0.548,20.18,0.054,
455185,0.599,17.35,0.056,
455192,1.082,18.36,0.121,
455299,0.537,18.05,0.386,
455426,0.685,18.76,0.137,
455594,1.625,17.91,0.042,
455795,1.242,18.84,0.035,
456537,0.308,19.63,0.242,
457647,1.958,17.9,0.031,
458135,0.304,20.27,0.23,
458436,1.102,17.45,0.159,
459683,0.269,19.79,0.322,
462041,1.847,17.36,0.052,
462238,0.227,20.66,0.197,
462775,0.579,19.39,0.028,
463664,0.868,18.64,0.085,
464797,0.726,18.3,0.16,
464798,1.109,19.37,0.028,
464885,0.384,19.47,0.19,
465098,2.073,16.62,0.097,
465749,2.49,17.32,0.034,
465826,0.15,21.09,0.285,
467352,0.47,21.34,0.026,
467372,0.874,18.11,0.146,
468117,0.493,19.18,0.139,
468468,0.197,22.01,0.072,
468727,0.308,20.76,0.108,
469445,0.143,22.14,0.136,
469494,0.758,20.09,0.028,
469513,0.297,20.87,0.087,
471083,0.244,20.04,0.271,
471241,1.451,18.58,0.044,
474425,0.358,18.84,0.368,
474549,1.488,18.07,0.06,
475016,0.164,22.06,0.094,
475950,0.389,18.85,0.353,
476438,0.433,20.34,0.065,
477490,0.652,20.59,0.017,
477491,0.739,17.99,0.25,
477519,0.321,19.15,0.327,
477524,0.991,18.67,0.054,
477588,0.692,19.39,0.093,
477762,0.326,19.74,0.201,
480936,0.537,20.26,0.056,
481327,0.216,19.9,0.378,
482054,0.413,19.47,0.18,
482055,1.855,18.5,0.022,
482111,0.383,19.44,0.209,
483508,0.202,20.02,0.433,
484402,0.452,19.68,0.125,
485110,0.356,20.93,0.055,
488494,0.766,18.74,0.1,
488789,1.039,18.98,0.038,
488803,0.209,20.48,0.283,
489203,1.52,18.65,0.019,
490581,0.237,20.85,0.314,
492478,1.084,19.71,0.024,
495858,0.342,18.83,0.548,
496174,0.657,18.46,0.179,
496816,0.3,20.54,,
496817,0.4,19.99,,
496837,0.337,20.83,0.062,
496962,0.175,20.31,0.439,
498066,0.589,18.55,0.268,
498143,1.531,18.8,0.023,
499490,1.202,18.98,0.031,
499496,0.357,19.49,0.22,
499582,0.461,20.53,0.044,
501878,2.177,17.25,0.049,
503941,0.26,19.62,0.376,
504800,0.38,21.48,0.032,
504827,0.615,19.09,0.092,
504994,1.492,18.41,0.035,
505093,0.556,20.2,0.052,
505657,0.971,18.48,0.068,
505667,0.82,17.82,0.182,
506074,0.665,18.9,0.11,
506590,0.099,21.97,0.287,
510055,0.2,21.46,0.094,
510073,0.451,18.56,0.316,
510262,1.284,19.2,0.02,
511008,1.647,18.55,0.028,
511243,1.195,18.91,0.037,
511684,0.315,20.77,0.093,
