spkid,data_arc,condition_code
20277570,6670,0
20277616,8484,0
20277617,7296,0
20277810,11310,1
20277830,3731,1
20277958,8197,0
20278327,8093,0
20278381,1712,1
20279744,9752,0
20279816,8224,0
20280136,8112,0
20280244,8072,0
20280491,7646,0
20281070,6387,0
20281365,9213,0
20281375,3374,0
20283457,25573,0
20283460,7485,0
20283729,8495,0
20284114,8115,0
20284422,6499,0
20285110,26360,0
20285179,9865,0
20285263,9958,0
20285331,9795,0
20285339,8800,0
20285540,6867,0
20285567,8062,0
20285571,9355,0
20285625,9334,0
20285638,9154,0
20285818,9180,0
20285838,8956,0
20285944,8916,0
20285990,8820,0
20286079,8045,0
20286080,7237,0
20288592,6628,0
20288807,8095,0
20288914,7678,0
20289227,7694,0
20289315,7927,0
20290772,7204,1
20292165,7991,0
20292220,8286,0
20293054,7561,0
20293726,2922,0
20294739,6471,0
20296318,6224,0
20297274,10539,0
20297300,9460,0
20297418,9199,0
20299582,6984,0
20301011,5978,0
20301844,12498,0
20302010,8981,0
20302156,8490,0
20302169,8428,0
20302311,7753,0
20302523,8231,0
20302591,8294,0
20302800,7821,0
20302830,7504,0
20302831,8400,0
20302871,8387,0
20303174,8886,0
20303248,8107,0
20303250,7014,0
20303262,8797,0
20303449,7644,0
20303450,7584,0
20303933,9205,0
20304088,6956,0
20304153,7194,0
20304293,8848,0
20304330,8060,0
20304640,8085,0
20305090,12408,0
20306367,23648,0
20306383,11719,0
20306431,10031,0
20306462,9340,0
20306523,8207,0
20306595,8795,0
20306918,8093,0
20307005,3653,0
20307070,8804,0
20307161,8072,0
20307493,7792,0
20307564,7860,0
20307918,7350,0
20308041,7280,0
20308043,7724,0
20308127,7781,0
20308242,7457,0
20308635,5857,0
20308899,6838,0
20309203,8171,0
20309214,1187,1
20309662,1823,1
20309728,8184,0
20310402,8951,0
20310442,9133,0
20310560,16496,0
20310737,8710,0
20310842,8448,0
20311044,7993,0
20311066,7937,0
20311321,7295,0
20311554,12481,0
20311555,6993,0
20311925,8743,0
20312070,6270,0
20312473,10148,0
20312942,10158,0
20312956,9151,0
20313276,8816,0
20313538,8310,0
20313548,7198,0
20313552,8081,0
20313809,8039,0
20314079,7670,0
20314082,7415,0
20314212,2402,0
20315020,8719,0
20315098,6959,0
20315508,6367,0
20316695,10723,0
20317212,7914,0
20317255,8691,0
20317643,8095,0
20317685,7939,0
20318050,10597,0
20318160,24872,0
20318411,7757,0
20318450,6879,0
20319988,8718,0
20320378,3842,0
20322652,9720,0
20322705,8830,0
20322756,7723,0
20322763,17104,0
20322775,8182,0
20322913,8662,0
20322966,7526,0
20323179,8399,0
20323300,7022,0
20325102,4347,1
20325395,4594,0
20325769,8126,0
20326290,12008,0
20326291,9172,0
