spkid,H,diameter
20303933,19.04,\N
20304088,19.15,\N
20304153,17.81,2.054
20304293,18.85,\N
20304330,18.91,0.780
20304640,19.17,\N
20305090,16.16,\N
20306367,15.65,\N
20306383,21.52,\N
20306431,17.48,\N
20306462,18.64,0.476
20306523,18.50,\N
20306595,18.73,\N
20306918,17.31,\N
20307005,18.14,\N
20307070,20.63,0.282
20307161,18.33,\N
20307493,18.57,1.666
20307564,20.75,\N
20307918,19.02,0.374
20308041,19.04,\N
20308043,18.55,\N
20308127,17.47,\N
20308242,16.18,\N
20308635,21.91,0.4
20308899,18.31,\N
20309203,17.77,\N
20309214,20.51,\N
20309662,19.87,\N
20309728,17.94,\N
20310402,18.64,\N
20310442,19.82,\N
20310560,17.80,0.654
20310737,17.94,\N
20310842,19.81,\N
20311044,17.12,\N
20311066,18.28,\N
20311321,18.61,0.583
20311554,18.72,0.382
20311555,18.35,\N
20311925,19.73,\N
20312070,19.40,0.595
20312473,18.05,\N
