spkid,e,q,i,moid,moid_ld
20486001,0.1902,1.260,22.69,0.28,109
20486607,0.5298,1.231,19.07,0.28,109
20486692,0.5882,0.628,7.19,0.0578,22.5
20486739,0.4199,0.789,8.58,0.111,43
20487577,0.2358,0.737,10.92,0.0026,1.01
20487580,0.5642,0.493,17.33,0.27,105
20487583,0.3095,0.707,4.43,0.0116,4.53
20488450,0.5831,1.143,32.17,0.141,55
20488453,0.7336,0.624,4.33,0.0202,7.87
20488461,0.7620,0.345,38.80,0.144,55.9
20488465,0.4268,1.238,7.92,0.233,90.5
20488474,0.4179,0.659,18.21,0.216,84.2
20488486,0.5116,1.266,27.61,0.493,192
20488490,0.2770,0.748,2.41,0.018,7.02
20488494,0.4557,1.228,10.20,0.225,87.4
20488509,0.1454,1.090,26.46,0.127,49.4
20488515,0.4953,0.976,8.81,0.0117,4.54
20488579,0.1944,1.226,34.94,0.348,135
20488580,0.4013,1.103,38.99,0.406,158
20488615,0.1960,0.948,6.69,0.051,19.8
20488636,0.4338,1.115,20.60,0.13,50.5
20488640,0.3979,1.197,40.53,0.426,166
20488645,0.8561,0.323,10.32,0.0893,34.8
20488693,0.5697,1.119,46.85,0.134,52.2
20488698,0.6797,0.460,11.58,0.104,40.7
20488789,0.6886,0.452,38.23,0.042,16.3
20488803,0.3947,0.479,9.15,0.0743,28.9
20489203,0.4783,1.254,36.38,0.266,104
20489235,0.1729,1.034,26.61,0.164,64
20489337,0.5396,1.029,15.89,0.15,58.5
20489453,0.3599,0.888,14.81,0.125,48.8
20489486,0.1291,0.924,15.09,0.0231,8.99
20489885,0.3545,1.110,35.14,0.114,44.5
20489900,0.7896,0.232,59.85,0.363,141
20490354,0.4092,0.717,0.56,0.00424,1.65
20490581,0.1926,0.691,9.84,0.0302,11.7
20490636,0.3958,1.067,36.45,0.292,114
20490684,0.5544,0.570,22.73,0.0627,24.4
20490791,0.3624,1.272,7.15,0.313,122
20491007,0.7070,0.334,15.70,0.0544,21.2
20491424,0.5663,0.729,66.23,0.277,108
20491565,0.4925,1.147,28.24,0.197,76.5
20491567,0.5283,0.743,15.90,0.138,53.6
20491842,0.4872,1.239,5.47,0.256,99.8
20492143,0.5090,0.998,9.79,0.0629,24.5
20492478,0.6860,0.526,17.02,0.288,112
20494658,0.5718,0.826,8.91,0.00946,3.68
20494689,0.6456,0.670,45.47,0.238,92.6
20494690,0.4500,0.656,32.83,0.0339,13.2
20494696,0.4166,1.289,8.83,0.312,121
20494697,0.3340,0.951,8.79,0.0313,12.2
20494706,0.8960,0.223,20.05,0.182,70.8
20494710,0.4108,0.509,6.32,0.0434,16.9
20494713,0.3733,0.774,47.78,0.124,48.1
20494880,0.2978,0.951,16.57,0.153,59.7
20494975,0.3853,0.845,17.35,0.0504,19.6
20494999,0.5460,0.417,36.22,0.00578,2.25
20495021,0.0331,1.229,4.05,0.257,99.9
20495102,0.4820,0.946,9.93,0.0764,29.7
20495168,0.3923,1.126,36.32,0.421,164
20495187,0.2150,0.945,36.95,0.0327,12.7
20495222,0.2734,1.148,17.85,0.246,95.7
20495278,0.5281,1.272,11.58,0.343,133
20495316,0.4690,1.119,7.20,0.149,58
20495323,0.5633,0.578,17.92,0.272,106
20495331,0.4248,1.231,6.97,0.225,87.6
20495417,0.4163,1.266,1.85,0.251,97.6
20495511,0.4300,1.212,6.48,0.224,87.2
20495615,0.2375,0.749,34.60,0.18,70
20495829,0.7906,0.223,43.59,0.223,86.8
20495833,0.4817,1.180,8.81,0.21,81.6
20495848,0.6475,0.853,11.63,0.1,39
20495857,0.5609,1.224,25.16,0.294,114
20495858,0.5619,1.009,5.31,0.0916,35.6
20495891,0.4643,1.166,20.29,0.382,149
20495930,0.4176,0.867,29.98,0.0598,23.3
20495959,0.4658,1.193,11.40,0.214,83.1
20495960,0.6132,0.714,16.65,0.165,64.1
20496001,0.6175,1.029,23.49,0.199,77.4
20496005,0.5568,1.000,6.24,0.0244,9.48
20496013,0.4807,0.898,13.14,0.0213,8.27
20496018,0.5307,1.289,10.72,0.279,109
20496124,0.4253,1.297,14.87,0.409,159
20496174,0.5832,0.834,23.74,0.166,64.6
20496230,0.5037,1.087,36.03,0.358,140
20496326,0.5216,1.245,32.01,0.333,130
20496327,0.5031,0.761,52.23,0.219,85.3
20496816,0.4723,0.982,3.85,0.00562,2.19
20496817,0.4602,1.005,2.18,0.0166,6.44
20496818,0.4164,1.120,5.60,0.169,65.7
20496837,0.1614,1.028,15.63,0.112,43.5
20496860,0.6466,0.643,8.91,0.0051,1.98
20496861,0.5586,0.825,10.12,0.0606,23.6
20496869,0.6474,0.804,22.32,0.145,56.5
20496901,0.6939,0.402,9.28,0.0128,4.97
20496962,0.3311,0.859,8.11,0.0813,31.7
20496981,0.3905,1.013,7.99,0.108,42
20497025,0.3316,0.704,11.28,0.0651,25.3
20497094,0.4228,1.152,16.00,0.26,101
20497096,0.5214,1.105,4.30,0.127,49.4
20497113,0.2507,0.936,11.64,0.0345,13.4
20497117,0.2639,0.928,23.25,0.00263,1.02
20497135,0.6970,0.659,17.53,0.285,111
20497174,0.2987,0.742,24.60,0.258,101
20497176,0.5167,1.294,10.47,0.306,119
20497230,0.4674,1.298,8.82,0.321,125
20497232,0.1663,1.006,18.59,0.144,56.2
20497236,0.5400,1.136,7.16,0.173,67.5
20497245,0.6515,0.941,35.15,0.0518,20.2
20497626,0.4727,0.782,24.47,0.0631,24.5
20498066,0.4413,1.235,10.76,0.217,84.4
20498068,0.4485,1.013,16.81,0.224,87.2
20498125,0.4735,1.187,4.60,0.208,80.9
20498143,0.5615,0.506,43.48,0.296,115
20498441,0.5285,1.242,3.87,0.239,93
20498548,0.2810,0.915,29.24,0.0612,23.8
20498550,0.2779,1.030,20.82,0.175,68
20498918,0.3067,1.267,51.71,0.256,99.8
20499307,0.5542,1.124,7.15,0.128,49.8
20499490,0.4713,1.204,21.35,0.385,150
20499496,0.3907,1.056,34.99,0.15,58.3
20499582,0.3101,1.010,6.83,0.0364,14.2
20499672,0.4544,1.285,5.05,0.293,114
20499986,0.1953,1.281,39.05,0.264,103
20499998,0.2166,1.031,2.22,0.0454,17.7
20500080,0.6751,0.909,6.02,0.0184,7.17
20500094,0.2790,0.990,23.84,0.145,56.5
20500136,0.1971,1.061,3.63,0.0889,34.6
20500749,0.7511,0.713,21.89,0.119,46.1
20500922,0.6122,0.602,45.56,0.354,138
20501243,0.3546,0.674,7.80,0.102,39.5
20501567,0.4209,1.187,2.18,0.171,66.5
20501647,0.3309,0.655,4.59,0.0173,6.74
20501878,0.7616,0.540,17.82,0.287,112
20501934,0.4672,1.203,11.04,0.196,76.2
20503274,0.2485,1.197,11.37,0.236,91.9
20503277,0.3029,1.159,12.25,0.244,95
20503293,0.2425,1.286,7.01,0.316,123
20503861,0.5567,0.959,4.31,0.022,8.55
20503865,0.2791,1.150,17.05,0.177,69
20503871,0.3950,0.932,38.35,0.123,47.7
20503880,0.8306,0.332,43.85,0.333,130
20503892,0.6097,0.445,31.26,0.312,121
20503911,0.3421,0.811,10.06,0.00422,1.64
20503941,0.7627,0.345,5.93,0.00783,3.05
20503960,0.2906,0.746,17.82,0.243,94.6
20503966,0.8113,0.417,28.99,0.272,106
20504025,0.5499,1.128,12.46,0.136,53.1
20504033,0.8583,0.356,44.38,0.41,159
20504034,0.8319,0.562,35.61,0.0413,16.1
20504074,0.4899,0.535,54.99,0.175,68.2
20504181,0.9120,0.135,19.55,0.144,56.2
20504256,0.4839,1.005,11.72,0.0314,12.2
20504392,0.4006,1.105,9.62,0.141,54.9
20504505,0.5755,1.150,7.73,0.139,54
20504680,0.4808,0.889,11.48,0.0131,5.08
20504711,0.3560,0.873,25.62,0.0597,23.2
20504800,0.2179,0.792,24.02,0.0215,8.35
20504827,0.5112,1.111,33.19,0.169,65.6
20504887,0.5360,1.072,22.86,0.192,74.8
20504928,0.4527,1.241,32.45,0.26,101
20504994,0.4603,1.087,56.10,0.268,104
20505019,0.2335,1.002,22.84,0.191,74.5
20505093,0.4368,1.161,7.19,0.222,86.3
20505169,0.5672,1.298,29.47,0.35,136
20505178,0.5488,0.819,7.47,0.0139,5.41
20505657,0.3038,0.905,29.80,0.035,13.6
20505667,0.4139,1.182,8.86,0.207,80.5
20506074,0.6874,0.487,6.01,0.048,18.7
20506425,0.6299,1.244,58.26,0.707,275
20506437,0.7173,0.887,10.26,0.0638,24.8
20506459,0.1261,0.907,23.00,0.0757,29.5
20506491,0.8385,0.189,3.75,0.0182,7.08
20506590,0.4188,0.658,8.71,0.0704,27.4
20506732,0.2945,0.872,10.05,0.0167,6.49
20506779,0.4059,1.184,31.42,0.386,150
20506859,0.7349,0.593,5.83,0.0322,12.5
20506951,0.3888,1.041,21.06,0.183,71.3
20507355,0.6928,0.402,25.31,0.355,138
20507366,0.6641,1.085,23.87,0.142,55.1
20507422,0.3688,1.174,5.75,0.185,72
20507716,0.6191,0.966,47.83,0.044,17.1
20507847,0.5298,1.185,7.46,0.242,94.2
20508767,0.3938,1.287,25.51,0.45,175
20508772,0.4329,0.695,21.97,0.122,47.7
20508774,0.7017,0.395,20.91,0.024,9.34
20508786,0.6361,0.998,14.61,0.152,59
20508796,0.5616,1.192,26.29,0.451,176
20508861,0.6740,1.242,4.17,0.263,102
20508871,0.5180,0.890,32.07,0.218,84.9
20508905,0.4915,1.171,13.03,0.216,84.1
20508908,0.2671,0.645,5.76,0.0116,4.52
20508912,0.5192,0.952,24.47,0.115,44.6
20508918,0.6132,0.523,36.18,0.16,62.3
20508967,0.8110,0.358,20.40,0.00186,0.722
20508997,0.7078,0.785,28.50,0.23,89.5
20509073,0.5524,0.542,3.22,0.0504,19.6
20509102,0.3479,1.175,32.57,0.229,89.2
20509191,0.6521,0.835,4.75,0.0142,5.54
20509192,0.1662,1.113,30.33,0.104,40.3
20509352,0.3742,0.451,11.94,0.0038,1.48
20509353,0.3757,1.057,13.63,0.11,42.6
20509456,0.4198,0.976,6.99,0.00495,1.93
20509505,0.3595,0.600,9.34,0.11,42.9
20509520,0.7096,0.485,13.72,0.188,73
20509523,0.8878,0.252,13.13,0.0766,29.8
20509569,0.1521,1.192,17.34,0.282,110
20509821,0.6071,0.681,0.92,0.00798,3.11
20509935,0.5409,0.887,4.24,0.0283,11
20510055,0.2104,0.968,16.80,0.037,14.4
20510073,0.6586,0.762,17.31,0.15,58.5
20510160,0.1117,0.992,40.58,0.0828,32.2
20510190,0.3227,0.880,10.53,0.114,44.2
20510238,0.4408,0.627,6.69,0.113,44.2
20510262,0.4176,0.864,21.08,0.124,48.1
20510529,0.1508,0.975,9.02,0.0281,11
20511002,0.1766,1.278,29.15,0.461,179
20511008,0.6514,0.905,13.66,0.0298,11.6
20511064,0.5802,1.095,24.91,0.322,125
20511137,0.4246,0.959,38.36,0.107,41.5
20511243,0.2170,1.234,11.64,0.314,122
20511520,0.3526,1.295,9.77,0.338,132
20511523,0.3652,1.036,11.46,0.0792,30.8
20511600,0.7327,0.496,68.95,0.519,202
20511684,0.5684,0.435,4.16,0.0247,9.6
20511777,0.2837,0.977,13.21,0.0845,32.9
20511808,0.6097,0.795,11.09,0.127,49.4
20512234,0.6000,0.381,14.02,0.0435,16.9
20512242,0.3140,1.096,31.46,0.099,38.5
20512244,0.5409,0.476,31.03,0.122,47.6
20512245,0.2003,0.785,9.18,0.119,46.2
20513125,0.6533,0.704,5.92,0.071,27.6
20513126,0.5826,0.745,9.35,0.0136,5.29
20513138,0.3842,0.841,8.29,0.0607,23.6
20513163,0.4775,1.212,5.48,0.246,95.6
20513165,0.8320,0.385,12.25,0.0696,27.1
20513170,0.1702,0.798,35.07,0.104,40.5
20513171,0.5631,0.416,29.32,0.00996,3.88
20513181,0.3853,0.686,16.70,0.148,57.7
20513182,0.4364,1.066,11.87,0.164,63.8
20513312,0.5277,0.558,2.26,0.0076,2.96
20513358,0.5943,0.758,25.03,0.091,35.4
20513472,0.6571,0.506,30.11,0.251,97.5
20513489,0.5234,0.824,17.00,0.0305,11.9
20513497,0.5919,1.135,11.15,0.188,73.2
20513529,0.7334,0.366,25.75,0.067,26.1
20513550,0.5698,1.123,26.66,0.12,46.8
20513572,0.4218,1.037,11.31,0.0598,23.3
20513711,0.1841,1.083,14.41,0.159,62
20513776,0.5465,1.298,6.86,0.337,131
20513916,0.2102,1.296,22.05,0.413,161
20514041,0.5986,1.164,35.07,0.196,76.2
20514150,0.4039,0.929,2.63,0.0123,4.81
20514568,0.6036,0.897,4.76,0.0378,14.7
20514571,0.1385,1.030,36.57,0.125,48.7
20514596,0.7150,0.354,15.66,0.0432,16.8
20514597,0.5944,0.595,5.79,0.0982,38.2
20514652,0.3828,1.179,32.38,0.331,129
20514846,0.2232,1.096,5.97,0.132,51.4
20514914,0.6342,0.667,9.42,0.138,53.9
20515010,0.4718,0.908,38.22,0.166,64.6
20515049,0.6565,0.659,11.39,0.142,55.1
20515082,0.2174,1.117,8.60,0.134,52.3
20515335,0.4193,1.045,28.17,0.308,120
20515446,0.2883,1.108,23.33,0.3,117
20515639,0.3392,0.687,8.48,0.133,51.8
20515742,0.2039,0.773,35.38,0.164,63.6
20515767,0.3491,0.673,16.42,0.0424,16.5
20516154,0.4601,0.833,12.22,0.0241,9.39
20516155,0.4773,0.535,13.33,0.032,12.5
20516396,0.2896,1.164,19.45,0.177,68.8
20516398,0.2530,1.139,18.99,0.132,51.4
20516420,0.5023,1.203,13.22,0.219,85.1
20516423,0.5597,1.288,21.03,0.459,179
20516428,0.5667,1.053,60.47,0.243,94.6
20516435,0.3492,0.594,33.44,0.131,50.9
20516454,0.7645,0.627,29.35,0.0526,20.5
20516457,0.3101,1.158,28.32,0.152,59.3
20516641,0.3261,1.238,36.13,0.314,122
20516734,0.2721,0.869,69.82,0.13,50.4
20516803,0.3845,0.846,30.61,0.0526,20.5
20516868,0.4032,1.058,44.65,0.221,85.9
20516976,0.4799,1.077,7.55,0.136,53
20516984,0.5316,0.834,24.48,0.152,59.1
20516986,0.3544,1.132,15.66,0.31,121
20517046,0.6674,0.427,27.87,0.348,135
20517103,0.3180,0.935,8.36,0.043,16.7
20517681,0.5825,0.862,12.24,0.0427,16.6
20517829,0.6141,0.824,8.53,0.106,41.2
20518424,0.5429,1.184,24.17,0.455,177
20518426,0.4035,1.299,10.46,0.288,112
20518440,0.5349,0.920,15.17,0.072,28
20518463,0.5613,1.157,18.23,0.183,71.1
20518469,0.5586,1.167,15.88,0.149,58.1
20518507,0.2764,0.870,36.40,0.0725,28.2
20518635,0.6511,1.017,14.08,0.115,44.8
20518638,0.6187,0.707,10.71,0.143,55.5
20518640,0.4544,1.006,8.36,0.00212,0.826
20518646,0.4458,1.249,6.91,0.272,106
20518678,0.5724,0.937,30.25,0.0268,10.4
20518735,0.1707,0.979,11.51,0.0759,29.6
20518737,0.8121,0.305,13.61,0.074,28.8
20518771,0.3347,1.189,29.02,0.25,97.3
20518810,0.2699,0.871,7.18,0.0321,12.5
20518847,0.8398,0.333,5.00,0.0325,12.6
20519307,0.4465,1.275,0.25,0.262,102
20519354,0.3803,0.624,7.42,0.119,46.3
20519504,0.4788,1.087,22.62,0.348,135
20519824,0.6689,0.459,30.62,0.208,80.8
20520585,0.2667,1.175,6.18,0.158,61.6
20520808,0.4180,0.939,52.67,0.131,51.2
20520862,0.2955,1.146,35.34,0.308,120
20522684,0.3842,0.613,11.32,0.0296,11.5
20523585,0.3629,0.652,6.29,0.0757,29.5
20523586,0.3326,0.605,11.93,0.0269,10.5
20523587,0.5975,1.129,7.95,0.132,51.4
20523589,0.7934,0.556,17.18,0.0252,9.79
20523590,0.3796,0.829,20.59,0.0714,27.8
20523592,0.5940,1.293,20.76,0.428,167
20523593,0.4393,1.127,39.61,0.17,66.2
20523594,0.1658,1.117,13.13,0.174,67.7
20523595,0.4536,1.051,26.81,0.298,116
20523596,0.4579,1.177,6.42,0.172,67
20523598,0.5469,0.642,33.72,0.0254,9.88
20523599,0.6063,1.147,11.00,0.161,62.8
20523600,0.3711,0.959,42.32,0.256,99.6
20523602,0.3268,1.188,39.56,0.187,72.6
20523603,0.3302,0.967,14.51,0.0913,35.5
20523604,0.5031,1.139,4.82,0.16,62.4
20523605,0.3513,0.597,5.96,0.0522,20.3
20523606,0.5256,0.830,1.08,0.00732,2.85
20523607,0.5468,1.188,23.49,0.453,176
20523608,0.4247,1.082,6.86,0.0943,36.7
20523609,0.6594,0.408,17.43,0.0443,17.2
20523610,0.5400,1.228,11.11,0.242,94.3
20523611,0.4170,1.299,7.13,0.317,123
20523612,0.6452,1.149,31.09,0.392,152
20523613,0.4554,1.138,2.42,0.155,60.5
20523614,0.8381,0.406,18.96,0.252,98.2
20523616,0.7384,0.344,28.38,0.288,112
20523619,0.5329,0.914,40.46,0.249,96.9
20523621,0.1597,1.258,3.10,0.262,102
20523623,0.6534,0.820,7.27,0.0466,18.1
20523625,0.4502,1.010,41.10,0.0786,30.6
20523626,0.5592,1.285,35.59,0.516,201
20523628,0.4618,1.209,2.22,0.216,84.2
20523630,0.8584,0.383,48.41,0.0433,16.9
20523631,0.4473,0.952,8.29,0.0726,28.2
20523632,0.0835,1.090,10.80,0.149,57.8
20523633,0.2889,1.060,26.72,0.152,59.2
20523636,0.5939,0.774,15.52,0.158,61.3
20523637,0.3708,0.849,31.87,0.139,54.1
20523638,0.5076,0.954,37.34,0.2,77.6
20523641,0.6077,0.985,18.08,0.167,64.8
20523648,0.4426,1.116,18.16,0.183,71.1
20523650,0.4121,0.935,65.16,0.0289,11.3
20523651,0.4986,1.146,9.98,0.132,51.4
20523654,0.7057,0.347,29.13,0.000401,0.156
20523656,0.4978,0.873,60.93,0.0295,11.5
20523657,0.3398,1.185,7.85,0.248,96.3
20523660,0.4720,1.073,23.06,0.133,51.8
20523661,0.4832,0.464,11.66,0.112,43.6
20523662,0.5128,1.002,11.20,0.00114,0.444
20523663,0.3959,1.284,21.84,0.338,132
20523664,0.5029,0.412,42.26,0.0391,15.2
20523665,0.4077,1.217,5.37,0.224,87
20523666,0.4358,1.186,5.02,0.196,76.2
20523667,0.4421,1.181,4.49,0.178,69.3
20523668,0.4391,1.182,5.17,0.165,64.2
20523669,0.4690,1.152,20.40,0.316,123
20523670,0.2510,1.280,23.06,0.273,106
20523679,0.4984,1.118,23.07,0.221,86.1
20523685,0.4937,0.936,4.30,0.00269,1.05
20523694,0.2149,1.211,8.19,0.199,77.3
20523707,0.1911,1.266,8.48,0.255,99.3
20523728,0.3418,0.661,25.70,0.228,88.7
20523732,0.4527,0.660,3.79,0.023,8.95
20523737,0.2447,1.178,19.54,0.275,107
20523747,0.7585,0.533,14.65,0.231,89.9
20523775,0.4831,0.970,12.63,0.0234,9.1
20523779,0.5554,1.092,9.25,0.132,51.4
20523781,0.2894,1.181,12.63,0.196,76.5
20523786,0.3659,1.261,59.47,0.601,234
20523788,0.5500,0.955,2.68,0.0297,11.6
20523792,0.5224,0.638,32.14,0.341,133
20523795,0.4823,1.107,3.70,0.103,40
20523796,0.6614,0.371,30.94,0.295,115
20523799,0.3681,1.109,57.30,0.196,76.2
20523801,0.4192,1.153,6.04,0.201,78.3
20523802,0.4590,1.192,17.67,0.176,68.4
20523803,0.5109,1.192,4.75,0.202,78.7
20523804,0.3714,0.938,6.30,0.00958,3.73
20523805,0.4930,1.146,6.83,0.199,77.5
20523806,0.6528,1.050,18.58,0.292,114
20523807,0.7354,0.506,11.89,0.183,71.1
20523808,0.3584,0.487,33.43,0.0245,9.52
20523809,0.3484,0.807,0.93,0.00156,0.609
20523810,0.7677,0.509,10.73,0.176,68.4
20523811,0.4196,1.069,3.87,0.102,39.7
20523812,0.3914,1.119,3.25,0.117,45.6
20523813,0.2750,0.926,10.32,0.0218,8.49
20523814,0.3119,0.976,3.75,0.0483,18.8
20523815,0.5922,1.095,41.11,0.317,124
20523816,0.7185,0.760,15.73,0.0372,14.5
20523817,0.2037,1.041,20.17,0.0407,15.8
20523818,0.1370,1.041,13.86,0.0423,16.5
20523819,0.0672,1.136,16.06,0.139,54
20523820,0.5975,0.903,55.01,0.00567,2.21
20523821,0.2957,1.244,9.52,0.293,114
20523822,0.7365,0.858,15.30,0.143,55.7
20523823,0.5681,1.110,5.74,0.135,52.7
20523824,0.3329,1.037,13.68,0.0543,21.1
20523826,0.1708,1.103,28.22,0.2,77.9
20523828,0.3522,0.921,14.35,0.104,40.3
20523915,0.8166,0.478,14.47,0.113,43.8
20523934,0.3123,0.862,38.69,0.0281,10.9
20523941,0.3315,0.924,7.62,0.0755,29.4
20523945,0.5908,1.068,26.94,0.208,80.8
20523950,0.5067,0.446,23.64,0.00717,2.79
20523966,0.2473,1.122,15.60,0.221,86.2
20523967,0.4763,1.063,59.73,0.156,60.8
20523971,0.2771,0.837,10.09,0.164,63.7
20523972,0.5980,0.900,33.63,0.235,91.6
20524150,0.4585,1.120,16.03,0.191,74.3
20524196,0.5302,1.052,4.52,0.0662,25.8
20524268,0.5411,0.860,6.84,0.0506,19.7
20524391,0.2468,1.072,32.40,0.0964,37.5
20524392,0.7542,0.497,9.18,0.136,52.8
20524459,0.5170,0.968,12.66,0.111,43.3
20524471,0.2663,0.660,11.76,0.115,44.8
20524474,0.4892,1.159,6.40,0.182,70.7
20524475,0.5558,1.008,27.90,0.0241,9.39
20524516,0.6102,1.172,26.18,0.255,99.3
20524522,0.4101,0.427,9.04,0.0259,10.1
20524530,0.5899,0.606,10.79,0.122,47.5
20524536,0.4521,1.186,21.09,0.349,136
20524594,0.6429,0.866,6.16,0.0256,9.97
20524597,0.1607,1.093,16.15,0.0904,35.2
20524599,0.5836,1.189,22.95,0.185,72.2
20524603,0.5471,0.787,8.34,0.0501,19.5
20524974,0.4937,1.155,22.15,0.229,89.3
20525229,0.2733,0.891,29.97,0.0266,10.4
20525231,0.4091,0.862,10.86,0.0434,16.9
20525234,0.2965,1.233,23.65,0.258,101
20525268,0.4104,0.448,21.46,0.0273,10.6
20525319,0.4525,1.264,24.19,0.336,131
20525356,0.7273,0.543,21.68,0.0291,11.3
20525364,0.1005,0.943,31.28,0.0654,25.4
20525477,0.5896,0.810,9.86,0.0758,29.5
20525484,0.3063,0.733,15.90,0.00644,2.51
20525498,0.2459,0.723,5.58,0.00536,2.09
20525552,0.4518,1.099,36.63,0.091,35.4
20526238,0.3951,1.145,4.60,0.167,64.8
20526449,0.2950,1.066,37.01,0.277,108
20526587,0.3245,1.055,27.57,0.048,18.7
20526670,0.3486,0.932,9.92,0.0213,8.3
20526742,0.3760,0.566,16.79,0.191,74.4
20526798,0.4204,0.497,6.80,0.0156,6.05
20526825,0.4634,0.964,32.40,0.238,92.7
20526826,0.3437,0.568,29.97,0.132,51.3
20526878,0.4564,0.975,7.00,0.0263,10.3
20526898,0.7415,0.276,11.97,0.111,43.1
20527115,0.4657,1.263,4.79,0.259,101
20527671,0.5289,1.130,19.72,0.298,116
20527715,0.2880,0.812,26.46,0.0104,4.06
20527841,0.4622,0.618,45.78,0.38,148
20527959,0.4145,1.151,5.37,0.158,61.6
20527977,0.7600,0.179,19.79,0.0388,15.1
20528159,0.2255,1.046,8.17,0.0349,13.6
20528284,0.4086,0.671,7.43,0.105,40.8
20528507,0.4861,1.136,8.42,0.155,60.5
20528609,0.7746,0.534,11.98,0.184,71.8
20528650,0.5751,0.943,23.93,0.143,55.7
20528756,0.4777,1.192,5.68,0.219,85.4
20528804,0.7126,0.532,13.02,0.0164,6.37
20528807,0.2657,0.688,5.55,0.0108,4.2
20528857,0.6385,0.671,3.85,0.0585,22.8
20528859,0.2624,0.793,5.05,0.0671,26.1
20529032,0.5575,1.173,10.11,0.254,98.9
20529366,0.1689,0.981,25.77,0.000111,0.0433
20529450,0.4678,0.921,11.06,0.0721,28.1
20529668,0.7348,0.710,5.38,0.0312,12.2
20529670,0.4030,0.886,44.43,0.0556,21.6
20529718,0.8826,0.292,60.75,0.708,276
20529720,0.3794,0.689,25.92,0.314,122
20529752,0.5254,1.164,3.33,0.17,66.2
20529753,0.5882,1.029,9.10,0.041,15.9
20529819,0.4597,0.741,13.59,0.0975,37.9
20529920,0.5173,1.176,25.12,0.373,145
20529951,0.2641,0.808,26.29,0.0156,6.07
20530085,0.8490,0.380,9.12,0.0319,12.4
20530151,0.5171,0.534,21.91,0.176,68.5
20530520,0.2873,0.784,20.90,0.00403,1.57
20530531,0.1586,1.028,15.73,0.118,46
20530743,0.6000,1.029,24.81,0.253,98.5
20530871,0.7433,0.259,46.80,0.094,36.6
20530938,0.4634,0.421,20.72,0.0535,20.8
20530940,0.4697,1.232,18.31,0.359,140
20530974,0.3948,0.882,4.36,0.0211,8.19
20531060,0.5153,0.445,53.63,0.0278,10.8
20531277,0.6481,0.744,3.18,0.0113,4.41
20531898,0.3875,1.254,2.43,0.253,98.5
20531899,0.2974,0.640,31.01,0.0446,17.4
20531914,0.5335,0.960,40.36,0.0281,10.9
20531944,0.1828,1.050,10.34,0.0406,15.8
20532058,0.2652,1.166,22.78,0.188,73.2
20532874,0.2617,1.027,31.22,0.135,52.6
20533011,0.2825,1.023,5.71,0.0357,13.9
20533372,0.3525,0.885,39.15,0.0153,5.94
20533541,0.2676,1.052,26.78,0.0721,28.1
20533638,0.1678,0.988,22.46,0.0994,38.7
20533671,0.8955,0.302,24.28,0.0264,10.3
20533722,0.6585,0.815,3.86,0.0358,13.9
20533990,0.2235,1.096,2.82,0.0945,36.8
20534676,0.6040,0.728,16.37,0.0953,37.1
20535148,0.5325,1.210,27.13,0.427,166
20535221,0.3281,1.079,22.22,0.0617,24
20535844,0.4010,0.951,4.75,0.0233,9.07
20536531,0.4026,0.919,13.20,0.0074,2.88
20537098,0.4875,1.053,5.68,0.0916,35.6
20537342,0.3909,0.975,18.56,0.0749,29.2
20537395,0.1817,1.031,21.29,0.0172,6.69
20537467,0.3438,1.076,14.14,0.244,95
20537686,0.3169,1.133,42.56,0.189,73.4
20537829,0.4893,0.363,13.92,0.197,76.7
20538085,0.5645,0.816,62.61,0.16,62.3
20538212,0.7812,0.445,1.26,0.00704,2.74
20538644,0.7934,0.226,16.21,0.164,63.7
20538648,0.7764,0.290,37.18,0.445,173
20538979,0.4279,1.259,22.74,0.464,180
20539063,0.7159,0.426,10.78,0.0241,9.39
20539694,0.1757,0.853,22.73,0.153,59.5
20539856,0.5575,0.447,16.50,0.115,44.8
20539940,0.4585,1.158,33.93,0.155,60.2
20543319,0.6243,0.776,34.17,0.0944,36.7
20545274,0.7849,0.573,13.31,0.179,69.6
20549328,0.4716,0.980,6.67,0.103,40
20549459,0.7392,0.544,23.91,0.278,108
20549948,0.2834,0.772,14.13,0.00152,0.59
20550271,0.2158,1.054,24.10,0.0688,26.8
20551685,0.4230,0.635,2.92,0.0267,10.4
20554126,0.4714,1.105,7.37,0.0972,37.8
20555122,0.7175,0.651,28.27,0.337,131
20558307,0.6317,1.184,20.40,0.238,92.6
20560563,0.6517,0.562,8.01,0.101,39.3
20564883,0.3230,1.052,60.65,0.348,135
20564934,0.3516,1.294,5.59,0.326,127
20566540,0.4444,0.897,9.24,0.0631,24.5
20567077,0.4922,1.212,8.02,0.202,78.5
20567092,0.5862,1.026,6.75,0.0564,21.9
20572822,0.4535,1.080,10.26,0.108,41.9
20574660,0.4962,0.584,5.31,0.0874,34
20576330,0.4772,0.927,22.31,0.0575,22.4
20576763,0.4607,1.033,6.06,0.0301,11.7
20577723,0.5126,0.663,17.25,0.287,112
20580109,0.4306,1.179,5.79,0.201,78.1
20584604,0.2174,1.246,4.66,0.235,91.4
20584693,0.3380,1.070,17.10,0.205,80
20585185,0.4724,0.697,6.57,0.0894,34.8
20585310,0.3349,0.883,20.87,0.00132,0.512
20585428,0.2309,0.787,27.66,0.197,76.7
20585734,0.3857,0.974,26.83,0.189,73.6
